"zipcode","year","tc","gradrate","Income","size"
10016,2008,1269,83.73,,
10016,2009,1018,75.2,,
10016,2010,990,80.2,,
10016,2011,937,85.3,"152,088",1.63
10017,2001,1990,,,
10017,2002,1801,,,
10017,2003,1796,,,
10017,2004,1667,,,
10017,2005,1397,,,
10017,2006,1391,,,
10017,2007,1277,,,
10017,2008,1269,,,
10017,2009,1018,,,
10017,2010,990,,,
10017,2011,937,,"161,962",1.52
10022,2001,1990,58.2,,
10022,2002,1801,63.7,,
10022,2003,1796,61.1,,
10022,2004,1667,68.3,,
10022,2005,1397,64.8,,
10022,2006,1391,72.2,,
10022,2007,1277,82.8,,
10022,2008,1269,83.73,,
10022,2009,1018,75.2,,
10022,2010,990,80.2,,
10022,2011,937,85.3,"221,140",1.62
10019,2001,5263,57.4,,
10019,2002,4508,61,,
10019,2003,4144,60.1,,
10019,2004,3992,72.6,,
10019,2005,3652,72.6,,
10019,2006,2945,71.3,,
10019,2007,2761,70.1,,
10019,2008,2718,65.8,,
10019,2009,2479,70,,
10019,2010,2331,64.8,,
10019,2011,2228,68.73,"137,685",1.63
10020,2001,5263,,,
10020,2002,4508,,,
10020,2003,4144,,,
10020,2004,3992,,,
10020,2005,3652,,,
10020,2006,2945,,,
10020,2007,2761,,,
10020,2008,2718,,,
10020,2009,2479,,,
10020,2010,2331,,,
10020,2011,2228,,0,0
10036,2001,5263,58.4,,
10036,2002,4508,60.6,,
10036,2003,4144,59.4,,
10036,2004,3992,,,
10036,2005,3652,69.8,,
10036,2006,2945,68.7,,
10036,2007,2761,66.7,,
10036,2008,2718,66.7,,
10036,2009,2479,66.7,,
10036,2010,2331,87.68,,
10036,2011,2228,82.55,"113,730",1.59
10021,2001,3784,76.2,,
10021,2002,3606,97,,
10021,2003,3310,99.1,,
10021,2004,3326,100,,
10021,2005,2892,99.1,,
10021,2006,2842,100,,
10021,2007,2582,97.8,,
10021,2008,2371,100,,
10021,2009,1940,97.3,,
10021,2010,1871,100,,
10021,2011,1828,100,"204,533",1.71
10028,2001,3784,,,
10028,2002,3606,,,
10028,2003,3310,,,
10028,2004,3326,,,
10028,2005,2892,,,
10028,2006,2842,,,
10028,2007,2582,,,
10028,2008,2371,,,
10028,2009,1940,,,
10028,2010,1871,,,
10028,2011,1828,,"203,702",1.79
10065,2001,3784,61.8,,
10065,2002,3606,56.3,,
10065,2003,3310,57.6,,
10065,2004,3326,70.6,,
10065,2005,2892,70.5,,
10065,2006,2842,67.5,,
10065,2007,2582,67.6,,
10065,2008,2371,66.9,,
10065,2009,1940,66,,
10065,2010,1871,70.33,,
10065,2011,1828,71.75,"202,954",1.72
10075,2001,3784,,,
10075,2002,3606,,,
10075,2003,3310,,,
10075,2004,3326,,,
10075,2005,2892,,,
10075,2006,2842,"$",,
10075,2007,2582,"$",,
10075,2008,2371,,,
10075,2009,1940,,,
10075,2010,1871,,,
10075,2011,1828,,"200,745",1.74
10128,2001,3784,58.4,,
10128,2002,3606,76.5,,
10128,2003,3310,76.2,,
,2004,3326,83.1,,
10128,2005,2892,84.7,,
10128,2006,2842,85.6,,
10128,2007,2582,66.9,,
10128,2008,2371,64.6,,
10128,2009,1940,46.2,,
10128,2010,1871,77.33,,
10128,2011,1828,,"176,612",1.85
10162,2001,3784,,,
10162,2002,3606,,,
10162,2003,3310,,,
10162,2004,3326,,,
10162,2005,2892,,,
10162,2006,2842,,,
10162,2007,2582,,,
10162,2008,2371,,,
10162,2009,1940,,,
10162,2010,1871,,,
10162,2011,1828,,"203,197",2.1
10023,2001,1509,59.2,,
10023,2002,1499,69.4,,
10023,2003,1510,60.6,,
10023,2004,1660,66.5,,
10023,2005,1519,66.7,,
10023,2006,1327,66.6,,
10023,2007,1259,65.2,,
10023,2008,1165,62.8,,
10023,2009,1056,63.2,,
10023,2010,970,47.21,,
10023,2011,858,76.71,"185,157",1.72
10024,2001,1509,57.8,,
10024,2002,1499,43.5,,
10024,2003,1510,38.9,,
10024,2004,1660,32.4,,
10024,2005,1519,35.3,,
10024,2006,1327,46.1,,
10024,2007,1259,36.7,,
10024,2008,1165,43,,
10024,2009,1056,34.6,,
10024,2010,970,60.63,,
10024,2011,858,61.38,"195,208",1.88
10069,2001,1509,,,
10069,2002,1499,,,
10069,2003,1510,,,
10069,2004,1660,,,
10069,2005,1519,,,
10069,2006,1327,,,
10069,2007,1259,,,
10069,2008,1165,,,
10069,2009,1056,,,
10069,2010,970,,,
10069,2011,858,,"231,506",1.93
10029,2001,1341,58.8,,
10029,2002,1258,69,,
10029,2003,1218,67.9,,
10029,2004,1110,76.7,,
10029,2005,1130,76.5,,
10029,2006,1008,71.5,,
10029,2007,984,77.1,,
10029,2008,1000,72.7,,
10029,2009,882,74.3,,
10029,2010,878,70.32,,
10029,2011,870,89.9,"60,941",2.45
10025,2001,1475,58.4,,
10025,2002,1453,12,,
10025,2003,1450,12,,
10025,2004,1408,24.4,,
10025,2005,1499,25.1,,
10025,2006,1313,27.5,,
10025,2007,1177,24.5,,
10025,2008,1148,17.9,,
10025,2009,986,87.5,,
10025,2010,1004,24.3,,
10025,2011,911,22.1,"120,674",1.98
10035,2001,1057,58.4,,
10035,2002,1088,58.6,,
10035,2003,1115,57.9,,
10035,2004,1131,70,,
10035,2005,1102,70.1,,
10035,2006,1101,57.9,,
10035,2007,1058,67.8,,
10035,2008,1063,67.1,,
10035,2009,914,68.5,,
10035,2010,899,34.45,,
10035,2011,880,38.13,"46,813",2.44
10027,2001,930,,,
10027,2002,922,,,
10027,2003,929,,,
10027,2004,909,,,
10027,2005,913,,,
10027,2006,889,72.6,,
10027,2007,780,61,,
10027,2008,758,68.3,,
10027,2009,650,70.2,,
10027,2010,670,74.53,,
10027,2011,616,79.2,"70,220",2.26
10026,2001,968,58.3,,
10026,2002,895,61.2,,
10026,2003,914,62.5,,
10026,2004,912,73,,
10026,2005,1005,73,,
10026,2006,1105,71.8,,
10026,2007,886,65.3,,
10026,2008,1003,70.3,,
10026,2009,897,71.4,,
10026,2010,892,93.5,,
10026,2011,911,64.2,"76,406",2.29
10031,2001,1211,59.7,,
10031,2002,1096,47.4,,
10031,2003,1154,70,,
10031,2004,1186,73.8,,
10031,2005,1101,73.6,,
10031,2006,1053,76.8,,
10031,2007,975,69.4,,
10031,2008,888,68.3,,
10031,2009,737,67,,
10031,2010,767,87.45,,
10031,2011,797,90.25,"56,188",2.72
10030,2001,1602,59.3,,
10030,2002,1446,71.8,,
10030,2003,1410,66.2,,
10030,2004,1455,76.3,,
10030,2005,1364,76,,
10030,2006,1475,71.9,,
10030,2007,1278,67.6,,
10030,2008,1204,65.8,,
10030,2009,1105,67.3,,
10030,2010,1103,60.23,,
10030,2011,1108,62.3,"52,572",2.29
10037,2001,1602,,,
10037,2002,1446,,,
10037,2003,1410,,,
10037,2004,1455,,,
10037,2005,1364,,,
10037,2006,1475,,,
10037,2007,1278,,,
10037,2008,1204,,,
10037,2009,1105,,,
10037,2010,1103,,,
10037,2011,1108,,"48,731",1.91
10039,2001,1602,59,,
10039,2002,1446,78.9,,
10039,2003,1410,53.7,,
10039,2004,1455,63.1,,
10039,2005,1364,63.4,,
10039,2006,1475,84.9,,
10039,2007,1278,60.3,,
10039,2008,1204,79.3,,
10039,2009,1105,77.9,,
10039,2010,1103,68.1,,
10039,2011,1108,70,"46,959",2.41
10032,2001,1214,59.7,,
10032,2002,1232,50,,
10032,2003,1201,75.5,,
10032,2004,1123,79,,
10032,2005,1000,73,,
10032,2006,948,81.3,,
10032,2007,918,65.4,,
10032,2008,921,64.8,,
10032,2009,876,66.4,,
10032,2010,884,59.55,,
10032,2011,877,70.15,"49,670",2.79
10033,2001,1690,,,
10033,2002,1718,,,
10033,2003,1586,,,
10033,2004,1656,,,
10033,2005,1502,,,
10033,2006,1403,"$",,
10033,2007,1359,"$",,
10033,2008,1327,66.3,,
10033,2009,1238,,,
10033,2010,1200,77.7,,
10033,2011,1283,74,"65,125",2.8
10034,2001,1690,,,
10034,2002,1718,,,
10034,2003,1586,,,
10034,2004,1656,,,
10034,2005,1502,,,
10034,2006,1403,"$",,
10034,2007,1359,"$",,
10034,2008,1327,48.6,,
10034,2009,1238,68,,
10034,2010,1200,41.8,,
10034,2011,1283,25,"58,725",2.58
10040,2001,1690,59.6,,
10040,2002,1718,55.6,,
10040,2003,1586,64.2,,
10040,2004,1656,70.1,,
10040,2005,1502,70.1,,
10040,2006,1403,71.2,,
10040,2007,1359,65.1,,
10040,2008,1327,64,,
10040,2009,1238,63.7,,
10040,2010,1200,68.92,,
10040,2011,1283,65.76,"62,395",2.61
10454,2001,2162,,,
10454,2002,2115,,,
10454,2003,2146,,,
10454,2004,2103,88.2,,
10454,2005,1950,89.4,,
10454,2006,1874,53.9,,
10454,2007,1827,49.7,,
10454,2008,1865,40,,
10454,2009,1645,27.7,,
10454,2010,1672,63.75,,
10454,2011,1667,74.7,"31,670",3.03
10455,2001,2162,59.7,,
10455,2002,2115,54.5,,
10455,2003,2146,64.2,,
10455,2004,2103,61.9,,
10455,2005,1950,62,,
10455,2006,1874,62.4,,
10455,2007,1827,65,,
10455,2008,1865,53.5,,
10455,2009,1645,54.6,,
10455,2010,1672,50.4,,
10455,2011,1667,49.06,"33,128",2.99
10459,2001,1440,,,
10459,2002,1405,52.1,,
10459,2003,1372,57.4,,
10459,2004,1320,67,,
10459,2005,1322,66,,
10459,2006,1277,66,,
10459,2007,1276,"$",,
10459,2008,1279,,,
10459,2009,1243,61.9,,
10459,2010,1271,40.44,,
10459,2011,1342,42.99,"36,133",2.99
10474,2001,1440,,,
10474,2002,1405,,,
10474,2003,1372,,,
10474,2004,1320,,,
10474,2005,1322,,,
10474,2006,1277,"$",,
10474,2007,1276,"$",,
10474,2008,1279,,,
10474,2009,1243,,,
10474,2010,1271,,,
10474,2011,1342,,"34,096",3.12
10451,2001,1686,58.8,,
10451,2002,1632,55.5,,
10451,2003,1639,56.9,,
10451,2004,1592,63.6,,
10451,2005,1684,63,,
10451,2006,1668,63.6,,
10451,2007,1563,58.6,,
10451,2008,1351,59.2,,
10451,2009,1142,59.7,,
10451,2010,1178,54.62,,
10451,2011,1243,60.12,"39,062",2.66
10462,2001,3329,58.1,,
10462,2002,3220,80.7,,
